DateTimeUTC,Meter_Hydros21_Depth,stage,flow_rate
"2025-12-01 00:00:00",,"-6.658617","0"
"2025-12-01 00:15:00",,"-6.660047","0"
"2025-12-01 00:30:00",,"-6.661399","0"
"2025-12-01 00:45:00",,"-6.661685","0"
"2025-12-01 01:00:00",,"-6.664631","0"
"2025-12-01 01:15:00",,"-6.66517","0"
"2025-12-01 01:30:00",,"-6.668723","0"
"2025-12-01 01:45:00",,"-6.668844","0"
"2025-12-01 02:00:00",,"-6.668775","0"
"2025-12-01 02:15:00",,"-6.670824","0"
"2025-12-01 02:30:00",,"-6.67028","0"
"2025-12-01 02:45:00",,"-6.673077","0"
"2025-12-01 03:00:00",,"-6.673093","0"
"2025-12-01 03:15:00",,"-6.674668","0"
"2025-12-01 03:30:00",,"-6.674299","0"
"2025-12-01 03:45:00",,"-6.675496","0"
"2025-12-01 04:00:00",,"-6.675745","0"
"2025-12-01 04:15:00",,"-6.68069","0"
"2025-12-01 04:30:00",,"-6.680334","0"
"2025-12-01 04:45:00",,"-6.680145","0"
"2025-12-01 05:00:00",,"-6.681406","0"
"2025-12-01 05:15:00",,"-6.682365","0"
"2025-12-01 05:30:00",,"-6.681769","0"
"2025-12-01 05:45:00",,"-6.680889","0"
"2025-12-01 06:00:00",,"-6.682559","0"
"2025-12-01 06:15:00",,"-6.682975","0"
"2025-12-01 06:30:00",,"-6.684459","0"
"2025-12-01 06:45:00",,"-6.683144","0"
"2025-12-01 07:00:00",,"-6.683202","0"
"2025-12-01 07:15:00",,"-6.684967","0"
"2025-12-01 07:30:00",,"-6.683911","0"
"2025-12-01 07:45:00",,"-6.685108","0"
"2025-12-01 08:00:00",,"-6.686885","0"
"2025-12-01 08:15:00",,"-6.685951","0"
"2025-12-01 08:30:00",,"-6.68716","0"
"2025-12-01 08:45:00",,"-6.686185","0"
"2025-12-01 09:00:00",,"-6.684403","0"
"2025-12-01 09:15:00",,"-6.687869","0"
"2025-12-01 09:30:00",,"-6.68796","0"
"2025-12-01 09:45:00",,"-6.688017","0"
"2025-12-01 10:00:00",,"-6.690284","0"
"2025-12-01 10:15:00",,"-6.692719","0"
"2025-12-01 10:30:00",,"-6.694923","0"
"2025-12-01 10:45:00",,"-6.69514","0"
"2025-12-01 11:00:00",,"-6.694889","0"
"2025-12-01 11:15:00",,"-6.692525","0"
"2025-12-01 11:30:00",,"-6.693787","0"
"2025-12-01 11:45:00",,"-6.690226","0"
"2025-12-01 12:00:00",,"-6.690547","0"
"2025-12-01 12:15:00",,"-6.686723","0"
"2025-12-01 12:30:00",,"-6.683807","0"
"2025-12-01 12:45:00",,"-6.682899","0"
"2025-12-01 13:00:00",,"-6.680537","0"
"2025-12-01 13:15:00",,"-6.676859","0"
"2025-12-01 13:30:00",,"-6.675341","0"
"2025-12-01 13:45:00",,"-6.673206","0"
"2025-12-01 14:00:00",,"-6.672677","0"
"2025-12-01 14:15:00",,"-6.670914","0"
"2025-12-01 14:30:00",,"-6.667573","0"
"2025-12-01 14:45:00",,"-6.665174","0"
"2025-12-01 15:00:00",,"-6.663303","0"
"2025-12-01 15:15:00",,"-6.659879","0"
"2025-12-01 15:30:00",,"-6.656387","0"
"2025-12-01 15:45:00",,"-6.657277","0"
"2025-12-01 16:00:00",,"-6.65764","0"
"2025-12-01 16:15:00",,"-6.659678","0"
"2025-12-01 16:30:00",,"-6.658841","0"
"2025-12-01 16:45:00",,"-6.657469","0"
"2025-12-01 17:00:00",,"-6.654525","0"
"2025-12-01 17:15:00",,"-6.654522","0"
"2025-12-01 17:30:00",,"-6.650636","0"
"2025-12-01 17:45:00",,"-6.647309","0"
"2025-12-01 18:00:00",,"-6.645923","0"
"2025-12-01 18:15:00",,"-6.639386","0"
"2025-12-01 18:30:00",,"-6.636135","0"
"2025-12-01 18:45:00",,"-6.632486","0"
"2025-12-01 19:00:00",,"-6.62802","0"
"2025-12-01 19:15:00",,"-6.623817","0"
"2025-12-01 19:30:00",,"-6.622712","0"
"2025-12-01 19:45:00",,"-6.619378","0"
"2025-12-01 20:00:00",,"-6.574491","0"
"2025-12-01 20:15:00",,"-6.58007","0"
"2025-12-01 20:30:00",,"-6.584421","0"
"2025-12-01 20:45:00",,"-6.587934","0"
"2025-12-01 21:00:00",,"-6.588534","0"
"2025-12-01 21:15:00",,"-6.588606","0"
"2025-12-01 21:30:00",,"-6.590346","0"
"2025-12-01 21:45:00",,"-6.586922","0"
"2025-12-01 22:00:00",,"-6.591653","0"
"2025-12-01 22:15:00",,"-6.587439","0"
"2025-12-01 22:30:00",,"-6.587878","0"
"2025-12-01 22:45:00",,"-6.586441","0"
"2025-12-01 23:00:00",,"-6.586838","0"
"2025-12-01 23:15:00",,"-6.581329","0"
"2025-12-01 23:30:00",,"-6.582067","0"
"2025-12-01 23:45:00",,"-6.583317","0"
"2025-12-02 00:00:00",,"-6.583055","0"
"2025-12-02 00:15:00",,"-6.580336","0"
"2025-12-02 00:30:00",,"-6.578836","0"
"2025-12-02 00:45:00",,"-6.577713","0"
"2025-12-02 01:00:00",,"-6.579458","0"
"2025-12-02 01:15:00",,"-6.580484","0"
"2025-12-02 01:30:00",,"-6.581329","0"
"2025-12-02 01:45:00",,"-6.584306","0"
"2025-12-02 02:00:00",,"-6.58416","0"
